Coupled Climate Model growth over time,,,,,,,,
Model,Assessment,Year,Lat resolution,Lon resolution,# levels,# grid points,Notes,Link
ECHAM1/LSG,TAR,2001,4.000,4.000,11,4.455E+04,,
ECHAM3/LSG,TAR,2001,4.000,4.000,11,4.455E+04,,
ECHAM4/OPYC3,TAR,2001,2.800,2.800,11,9.092E+04,,
GFDL_R15_a,TAR,2001,4.500,3.700,12,4.670E+04,,
GFDL_R15_b,TAR,2001,4.500,3.700,12,4.670E+04,,
GFDL_R30_c,TAR,2001,1.875,2.250,18,2.765E+05,,
GISS1,TAR,2001,4.000,5.000,16,5.184E+04,,
GISS2,TAR,2001,4.000,5.000,13,4.212E+04,,
GOALS,TAR,2001,4.000,5.000,20,6.480E+04,,
HadCM2,TAR,2001,2.500,3.750,20,1.382E+05,,
HadCM3,TAR,2001,1.250,1.250,20,8.294E+05,,
IPSL-CM1,TAR,2001,2.000,2.000,31,5.022E+05,,
IPSL-CM2,TAR,2001,2.000,2.000,31,5.022E+05,,
MRI1,TAR,2001,2.000,2.500,23,2.981E+05,,
MRI2,TAR,2001,2.000,2.500,23,2.981E+05,,
NCAR1,TAR,2001,1.000,1.000,20,1.296E+06,,
NRL,TAR,2001,1.000,2.000,25,8.100E+05,,
DOE PCM,TAR,2001,0.670,0.670,32,4.619E+06,,
CCSR/NIES2,TAR,2001,2.800,3.800,17,1.035E+05,,
UVIC,TAR,2001,1.800,3.600,19,1.900E+05,,
BCC-CM1,AR4,2005,1.900,1.900,30,5.385E+05,,
BCCR-BCM2.0 ,AR4,2005,1.000,1.500,35,1.512E+06,,
CCSM3 ,AR4,2005,0.650,1.000,40,3.988E+06,,
CGCM3.1(T47),AR4,2005,1.900,1.900,29,5.206E+05,,
CGCM3.1(T63) ,AR4,2005,0.900,1.400,29,1.491E+06,,
CNRM-CM3 ,AR4,2004,1.250,2.000,31,8.035E+05,,
CSIRO-MK3.0 ,AR4,2001,0.800,1.900,31,1.322E+06,,
ECHAM5/MPI-OM ,AR4,2005,1.500,1.500,40,1.152E+06,,
ECHO-G ,AR4,1999,1.650,2.800,20,2.805E+05,,
FGOALS-g1.0 ,AR4,2004,1.000,1.000,16,1.037E+06,,
GFDL-CM2.0 ,AR4,2005,0.650,1.000,50,4.985E+06,See Delworth et al. 2006 for vertical levels,
GFDL-CM2.1 ,AR4,2005,0.650,1.000,50,4.985E+06,See Delworth et al. 2006 for vertical levels,
GISS-AOM ,AR4,2004,3.000,4.000,16,8.640E+04,,
GISS-EH ,AR4,2004,2.000,2.000,16,2.592E+05,,
GISS-ER ,AR4,2004,4.000,5.000,13,4.212E+04,,
INM-CM3.0 ,AR4,2004,2.000,2.500,33,4.277E+05,,
IPSL-CM4 ,AR4,2005,2.000,2.000,31,5.022E+05,,
MIROC3.2(hires),AR4,2004,0.200,0.300,47,5.076E+07,,
MIROC3.2(medres) ,AR4,2004,0.950,1.400,43,2.095E+06,,
MRI-CGCM2.3.2 ,AR4,2003,1.250,2.500,23,4.769E+05,,
PCM ,AR4,1998,0.600,1.100,40,3.927E+06,,
UKMO-HadCM3 ,AR4,1997,1.250,1.250,20,8.294E+05,,
UKMO-HadGEM1 ,AR4,2004,0.650,1.000,40,3.988E+06,,
ACCESS1.0 ,AR5,2011,1.000,1.000,50,3.240E+06,,
ACCESS1.3,AR5,2011,1.000,1.000,50,3.240E+06,,
BCC-CSM1.1 ,AR5,2011,1.000,1.000,40,2.592E+06,,
BCC-CSM1.1(m) ,AR5,2011,1.000,1.000,40,2.592E+06,,
BNU-ESM ,AR5,2011,0.900,1.000,50,3.600E+06,,
CanCM4 ,AR5,2010,0.938,1.406,40,1.966E+06,,
CanESM2 ,AR5,2010,0.938,1.406,40,1.966E+06,,
CCSM4 ,AR5,2010,1.000,1.000,60,3.888E+06,,
CESM1(BGC) ,AR5,2010,1.000,1.000,60,3.888E+06,,
CESM1(CAM5) ,AR5,2013,1.000,1.000,60,3.888E+06,,
CESM1(CAM5.1.FV2) ,AR5,2012,1.000,1.000,60,3.888E+06,,
CESM1(WACCM) ,AR5,2010,1.000,1.000,60,3.888E+06,,
CESM1(FASTCHEM) ,AR5,2010,1.000,1.000,60,3.888E+06,,
CMCC-CESM ,AR5,2009,2.000,2.000,31,5.022E+05,,
CMCC-CM ,AR5,2009,2.000,2.000,31,5.022E+05,,
CMCC-CMS ,AR5,2009,2.000,2.000,31,5.022E+05,,
CNRM-CM5 ,AR5,2010,0.700,0.700,42,5.554E+06,,
CSIRO-Mk3.6.0 ,AR5,2009,0.900,1.875,31,1.190E+06,,
EC-EARTH ,AR5,2010,1.000,1.000,31,2.009E+06,,
FGOALS-g2 ,AR5,2011,1.000,1.000,30,1.944E+06,,
FGOALS-s2 ,AR5,2011,1.000,0.750,30,2.592E+06,,
FIO-ESM v1.0 ,AR5,2011,0.455,1.125,40,5.064E+06,,
GFDL-CM2.1 ,AR5,2006,1.000,1.000,50,3.240E+06,,
GFDL-CM3 ,AR5,2011,1.000,1.000,50,3.240E+06,,
GFDL-ESM2G ,AR5,2012,1.000,1.000,50,3.240E+06,,
GFDL-ESM2M ,AR5,2011,1.000,1.000,50,3.240E+06,,
GISS-E2-H ,AR5,2004,0.600,1.000,26,2.808E+06,,
GISS-E2-H-CC ,AR5,2011,0.600,1.000,26,2.808E+06,,
GISS-E2-R ,AR5,2011,1.000,1.250,32,1.659E+06,,
GISS-E2-R-CC ,AR5,2011,1.000,1.250,32,1.659E+06,,
HadCM3 ,AR5,1998,1.250,1.250,20,8.294E+05,,
HadGEM2-AO ,AR5,2009,1.875,1.250,40,1.106E+06,# levels from Martin et al. 2011,
HadGEM2-CC ,AR5,2010,1.875,1.250,40,1.106E+06,# levels from Martin et al. 2011,
HadGEM2-ES ,AR5,2009,1.875,1.250,40,1.106E+06,,
INM-CM4,AR5,2009,0.750,0.750,40,4.608E+06,,
IPSL-CM5A-LR,AR5,2010,2.000,1.250,31,8.035E+05,,
IPSL-CM5A-MR ,AR5,2009,2.000,1.250,31,8.035E+05,,
IPSL-CM5B-LR ,AR5,2010,2.000,1.250,31,8.035E+05,,
MIROC4h ,AR5,2009,0.190,0.280,48,5.847E+07,,
MIROC5 ,AR5,2010,0.950,1.400,50,2.436E+06,,
MIROC-ESM ,AR5,2010,0.950,1.400,44,2.144E+06,,
MIROC-ESM-CHEM ,AR5,2010,0.950,1.400,44,2.144E+06,,
MPI-ESM-LR ,AR5,2009,1.500,1.500,40,1.152E+06,,
MPI-ESM-MR ,AR5,2009,0.400,0.400,40,1.620E+07,,
MPI-ESM-P ,AR5,2009,1.500,1.500,40,1.152E+06,,
MRI-CGCM3 ,AR5,2011,0.500,1.000,51,6.610E+06,,
MRI-ESM1 ,AR5,2011,0.500,1.000,51,6.610E+06,,
NCEP-CFSv2 ,AR5,2011,0.375,0.500,40,1.382E+07,,
NorESM1-M ,AR5,2011,1.125,1.125,53,2.714E+06,,
NorESM1-ME ,AR5,2012,1.125,1.125,53,2.714E+06,,
CMCC.CMCC-CM2-HR4,AR6,2019,0.171,0.250,50,7.578E+07,,https://cera-www.dkrz.de/WDCC/ui/cerasearch/cmip6?input=CMIP6.HighResMIP.CMCC.CMCC-CM2-HR4.hist-1950
CMCC-CM2-VHR4,AR6,2019,0.171,0.250,50,7.578E+07,,https://cera-www.dkrz.de/WDCC/ui/cerasearch/cmip6?input=CMIP6.HighResMIP.CMCC.CMCC-CM2-VHR4
AWI-CM-1-1-HR,AR6,2017,0.186,0.186,46,8.587E+07,1306775 wet nodes; 46 levels,https://cera-www.dkrz.de/WDCC/ui/cerasearch/cmip6?input=CMIP6.HighResMIP.AWI.AWI-CM-1-1-HR
AWI-CM-1-1-LR,AR6,2017,0.598,0.598,46,8.336E+06,126859 wet nodes; 46 levels,https://cera-www.dkrz.de/WDCC/ui/cerasearch/cmip6?input=CMIP6.HighResMIP.AWI.AWI-CM-1-1-LR
CAMS.CAMS-CSM1-0,AR6,2019,0.900,1.000,50,3.600E+06,,https://cera-www.dkrz.de/WDCC/ui/cerasearch/cmip6?input=CMIP6.ScenarioMIP.CAMS.CAMS-CSM1-0
CESM1-CAM5,AR6,2018,0.100,0.100,62,4.018E+08,,http://www.cesm.ucar.edu/events/wg-meetings/2014/presentations/pcwg/small.pdf
CNRM-CM6-1,AR6,2019,0.612,0.994,75,7.982E+06,,https://cera-www.dkrz.de/WDCC/ui/cerasearch/cmip6?input=CMIP6.HighResMIP.CNRM-CERFACS.CNRM-CM6-1
CNRM-CM6-1-HR,AR6,2019,0.171,0.250,75,1.138E+08,,https://cera-www.dkrz.de/WDCC/ui/cerasearch/cmip6?input=CMIP6.HighResMIP.CNRM-CERFACS.CNRM-CM6-1-HR
EC-Earth3P,AR6,2019,0.612,0.994,75,7.982E+06,,https://cera-www.dkrz.de/WDCC/ui/cerasearch/cmip6?input=CMIP6.HighResMIP.EC-Earth-Consortium.EC-Earth3P
EC-Earth3P-HR,AR6,2018,0.094,0.250,75,2.078E+08,,https://cera-www.dkrz.de/WDCC/ui/cerasearch/cmip6?input=CMIP6.HighResMIP.EC-Earth-Consortium.EC-Earth3P-HR
ECMWF-IFS-HR,AR6,2017,0.176,0.250,75,1.104E+08,,https://cera-www.dkrz.de/WDCC/ui/cerasearch/cmip6?input=CMIP6.HighResMIP.ECMWF.ECMWF-IFS-HR
ECMWF-IFS-LR,AR6,2017,0.616,0.994,75,7.928E+06,,https://cera-www.dkrz.de/WDCC/ui/cerasearch/cmip6?input=CMIP6.HighResMIP.ECMWF.ECMWF-IFS-LR
ECMWF-IFS-MR,AR6,2018,0.176,0.250,75,1.104E+08,,https://cera-www.dkrz.de/WDCC/ui/cerasearch/cmip6?input=CMIP6.HighResMIP.ECMWF.ECMWF-IFS-MR
FGOALS-f3-H,AR6,2018,0.750,1.000,30,2.592E+06,,https://cera-www.dkrz.de/WDCC/ui/cerasearch/cmip6?input=CMIP6.CMIP.CAS.FGOALS-f3-L.amip
FGOALS-f3-L,AR6,2019,0.826,1.000,30,2.354E+06,,https://cera-www.dkrz.de/WDCC/ui/cerasearch/cmip6?input=CMIP6.CMIP.CAS.FGOALS-f3-L.1pctCO2
GFDL-CM4C192,AR6,2018,0.167,0.250,75,1.166E+08,,https://cera-www.dkrz.de/WDCC/ui/cerasearch/cmip6?input=CMIP6.HighResMIP.NOAA-GFDL.GFDL-CM4C192.highresSST-future
HadGEM3-GC31-HH,AR6,2018,0.050,0.083,75,1.168E+09,4320 x 3604 longitude/latitude; 75 levels,https://cera-www.dkrz.de/WDCC/ui/cerasearch/cmip6?input=CMIP6.HighResMIP.MOHC.HadGEM3-GC31-HH
HadGEM3-GC31-HM,AR6,2017,0.149,0.250,75,1.301E+08,,https://cera-www.dkrz.de/WDCC/ui/cerasearch/cmip6?input=CMIP6.HighResMIP.MOHC.HadGEM3-GC31-HM
HadGEM3-GC31-LL,AR6,2017,0.545,1.000,75,8.910E+06,,https://cera-www.dkrz.de/WDCC/ui/cerasearch/cmip6?input=CMIP6.HighResMIP.MOHC.HadGEM3-GC31-LL
HadGEM3-GC31-LM,AR6,2017,0.149,0.250,75,1.301E+08,,https://cera-www.dkrz.de/WDCC/ui/cerasearch/cmip6?input=CMIP6.HighResMIP.MOHC.HadGEM3-GC31-LM
HadGEM3-GC31-MH,AR6,2017,0.050,0.083,75,1.168E+09,,https://cera-www.dkrz.de/WDCC/ui/cerasearch/cmip6?input=CMIP6.HighResMIP.MOHC.HadGEM3-GC31-MH
HadGEM3-GC31-MM,AR6,2017,0.149,0.250,75,1.301E+08,,https://cera-www.dkrz.de/WDCC/ui/cerasearch/cmip6?input=CMIP6.HighResMIP.MOHC.HadGEM3-GC31-MM
INM-CM5-H,AR6,2018,0.125,0.167,40,1.242E+08,,https://www.wcrp-climate.org/images/modelling/WGCM/WGCM21/10oct/13_10-othergroups_wgm21.pdf
IPSL-CM6A-LR,AR6,2018,0.542,0.994,75,9.014E+06,,https://cera-www.dkrz.de/WDCC/ui/cerasearch/cmip6?input=CMIP6.CMIP.IPSL.IPSL-CM6A-LR
MPI-ESM1-2-HR,AR6,2017,0.446,0.449,40,1.296E+07,,https://cera-www.dkrz.de/WDCC/ui/cerasearch/cmip6?input=CMIP6.HighResMIP.MPI-M.MPI-ESM1-2-HR
MPI-ESM1-2-XR,AR6,2017,0.446,0.449,40,1.296E+07,,https://cera-www.dkrz.de/WDCC/ui/cerasearch/cmip6?input=CMIP6.HighResMIP.MPI-M.MPI-ESM1-2-XR
,,,,,,,,
,,,,,,,,
,FAR,,,,,,Table 3.2b IPCC FAR,
,SAR,,,,,,Table 5.1 TAR,
,TAR,,,,,,Table 8.1 TAR,
,AR4,,,,,,Table 8.1 AR4,
,AR5,,,,,,Table 9.A.1 AR5,
,AR6 HighResMIP as of 15Jul20,,,,,,,See HighResMIP data at https://pcmdi.llnl.gov/CMIP6/ArchiveStatistics/esgf_data_holdings/HighResMIP/index.html
